1	Then Job answered the LORD, and said:
Psalm 22:19	But Thou, O LORD, be not far off; O Thou my strength, hasten to help me.
Psalm 22:20	Deliver my soul from the sword; Mine only one from the power of the dog.
Psalm 22:21	Save me from the lion’s mouth; Yea, from the horns of the wild-oxen do Thou answer me.
Psalm 22:22	I will declare Thy name unto my brethren; In the midst of the congregation will I praise Thee.
Psalm 22:23	Ye that fear the LORD, praise Him; All ye the seed of Jacob, glorify Him; And stand in awe of Him, all ye the seed of Israel.
Psalm 22:24	For He hath not despised nor abhorred the lowliness of the poor; Neither hath He hid His face from him; But when he cried unto Him, He heard.’
Psalm 22:25	From Thee cometh my praise in the great congregation; I will pay my vows before them that fear Him.
Psalm 22:26	Let the humble eat and be satisfied; Let them praise the LORD that seek after Him; May your heart be quickened for ever!
Psalm 22:27	All the ends of the earth shall remember and turn unto the LORD; And all the kindreds of the nations shall worship before Thee.
Psalm 22:28	For the kingdom is the LORD’S; And He is the ruler over the nations.
Psalm 22:29	All the fat ones of the earth shall eat and worship; All they that go down to the dust shall kneel before Him, Even he that cannot keep his soul alive.
Psalm 22:30	A seed shall serve him; It shall be told of the Lord unto the next generation.
Psalm 22:31	They shall come and shall declare His righteousness Unto a people that shall be born, that He hath done it.
Psalm 23:1	A Psalm of David. The LORD is my shepherd; I shall not want.
Psalm 23:2	He maketh me to lie down in green pastures; He leadeth me beside the still waters.
Psalm 23:3	He restoreth my soul; He guideth me in straight paths for His name’s sake.
Psalm 23:4	Yea, though I walk through the valley of the shadow of death, I will fear no evil, for Thou art with me; Thy rod and Thy staff, they comfort me.
Psalm 23:5	Thou preparest a table before me in the presence of mine enemies; Thou hast anointed my head with oil; my cup runneth over.
Psalm 23:6	Surely goodness and mercy shall follow me all the days of my life; And I shall dwell in the house of the LORD for ever.
Psalm 24:1	A Psalm of David. The earth is the LORD’S, and the fulness thereof; The world, and they that dwell therein.
Psalm 24:2	For He hath founded it upon the seas, And established it upon the floods.
Psalm 24:3	Who shall ascend into the mountain of the LORD? And who shall stand in His holy place?
Psalm 24:4	He that hath clean hands, and a pure heart; Who hath not taken My name in vain, And hath not sworn deceitfully.
Psalm 24:5	He shall receive a blessing from the LORD, And righteousness from the God of his salvation.
Psalm 24:6	Such is the generation of them that seek after Him, That seek Thy face, even Jacob. Selah
Psalm 24:7	Lift up your heads, O ye gates, And be ye lifted up, ye everlasting doors; That the King of glory may come in.
Psalm 24:8	Who is the King of glory?’ ‘The LORD strong and mighty, The LORD mighty in battle.’
Psalm 24:9	Lift up your heads, O ye gates, Yea, lift them up, ye everlasting doors; That the King of glory may come in.
Psalm 24:10	Who then is the King of glory?’ ‘The LORD of hosts; He is the King of glory.’ Selah
Psalm 25:1	[A Psalm] of David. Unto Thee, O LORD, do I lift up my soul.
Psalm 25:2	O my God, in Thee have I trusted, let me not be ashamed; Let not mine enemies triumph over me.
Psalm 25:3	Yea, none that wait for Thee shall be ashamed; They shall be ashamed that deal treacherously without cause.
Psalm 25:4	Show me Thy ways, O LORD; teach me Thy paths.
Psalm 25:5	Guide me in Thy truth, and teach me; For Thou art the God of my salvation; For Thee do I wait all the day.
Psalm 25:6	Remember, O LORD, Thy compassions and Thy mercies; For they have been from of old.
Psalm 25:7	Remember not the sins of my youth, nor my transgressions; According to Thy mercy remember Thou me, For Thy goodness’ sake, O LORD.
Psalm 25:8	Good and upright is the LORD; Therefore doth He instruct sinners in the way.
Psalm 25:9	He guideth The humble in justice; And He teacheth the humble His way.
Psalm 25:10	All the paths of the LORD are mercy and truth Unto such as keep His covenant and His testimonies.
Psalm 25:11	For Thy name’s sake, O LORD, Pardon mine iniquity, for it is great.
Psalm 25:12	What man is he that feareth the LORD? Him will He instruct in the way that He should choose.
Psalm 25:13	His soul shall abide in prosperity; And his seed shall inherit the land.
Psalm 25:14	The counsel of the LORD is with them that fear Him; And His covenant, to make them know it.
Psalm 25:15	Mine eyes are ever toward the LORD; For He will bring forth my feet out of the net.
Psalm 25:16	Turn Thee unto me, and be gracious unto me; For I am solitary and afflicted.
Psalm 25:17	The troubles of my heart are enlarged; O bring Thou me out of my distresses.
Psalm 25:18	See mine affliction and my travail; And forgive all my sins.
Psalm 25:19	Consider how many are mine enemies, And the cruel hatred wherewith they hate me.
Psalm 25:20	O keep my soul, and deliver me; Let me not be ashamed, for I have taken refuge in Thee.
Psalm 25:21	Let integrity and uprightness preserve me, Because I wait for Thee.
Psalm 25:22	Redeem Israel, O God, out of all his troubles.
Psalm 26:1	[A Psalm] of David. Judge me, O LORD, for I have walked in mine integrity, And I have trusted in the LORD without wavering.
Psalm 26:2	Examine me, O LORD, and try me; Test my reins and my heart.
Psalm 26:3	For Thy mercy is before mine eyes; And I have walked in Thy truth.
Psalm 26:4	I have not sat with men of falsehood; Neither will I go in with dissemblers.
Psalm 26:5	I hate the gathering of evil doers, And will not sit with the wicked.
Psalm 26:6	I will wash my hands in innocency; So will I compass Thine altar, O LORD,
Psalm 26:7	That I may make the voice of thanksgiving to be heard, And tell of all Thy wondrous works.
Psalm 26:8	LORD, I love the habitation of Thy house, And the place where Thy glory dwelleth.
Psalm 26:9	Gather not my soul with sinners, Nor my life with men of blood;
Psalm 26:10	In whose hands is craftiness, And their right hand is full of bribes.
Psalm 26:11	But as for me, I will walk in mine integrity; Redeem me, and be gracious unto me.
Psalm 26:12	My foot standeth in an even place; In the congregations will I bless the LORD.
Psalm 27:1	[A Psalm] of David. The LORD is my light and my salvation; whom shall I fear? The LORD is the stronghold of my life; of whom shall I be afraid?
Psalm 27:2	When evil-doers came upon me to eat up my flesh, Even mine adversaries and my foes, they stumbled and fell.
Psalm 27:3	Though a host should encamp against me, My heart shall not fear; Though war should rise up against me, Even then will I be confident.
Psalm 27:4	One thing have I asked of the LORD, that will I seek after: That I may dwell in the house of the LORD all the days of my life, To behold the graciousness of the LORD, and to visit early in His temple.
Psalm 27:5	For He concealeth me in His pavilion in the day of evil; He hideth me in the covert of His tent; He lifteth me up upon a rock.
Psalm 27:6	And now shall my head be lifted up above mine enemies round about me; And I will offer in His tabernacle sacrifices with trumpet-sound; I will sing, yea, I will sing praises unto the LORD.
Psalm 27:7	Hear, O LORD, when I call with my voice, And be gracious unto me, and answer me.
Psalm 27:8	In Thy behalf my heart hath said: ‘Seek ye My face’; Thy face, LORD, will I seek.
Psalm 27:9	Hide not Thy face far from me; Put not Thy servant away in anger; Thou hast been my help; Cast me not off, neither forsake me, O God of my salvation.
Psalm 27:10	For though my father and my mother have forsaken me, The LORD will take me up.
Psalm 27:11	Teach me Thy way, O LORD; And lead me in an even path, Because of them that lie in wait for me.
Psalm 27:12	Deliver me not over unto the will of mine adversaries; For false witnesses are risen up against me, and such as breathe out violence.
Psalm 27:13	If I had not believed to look upon the goodness of the LORD In the land of the living!—
Psalm 27:14	Wait on the LORD; Be strong, and let thy heart take courage; Yea, wait thou for the LORD.
Psalm 28:1	[A Psalm] of David. Unto thee, O LORD, do I call; My Rock, be not Thou deaf unto me; Lest, if Thou be silent unto me, I become like them that go down into the pit.
Psalm 28:2	Hear the voice of my supplications, when I cry unto Thee, When I lift up my hands toward Thy holy Sanctuary.
Psalm 28:3	Draw me not away with the wicked, And with the workers of iniquity; Who speak peace with their neighbours, But evil is in their hearts.
Psalm 28:4	Give them according to their deeds, and according to the evil of their endeavours; Give them after the work of their hands; Render to them their desert.
Psalm 28:5	Because they give no heed to the works of the LORD, Nor to the operation of His hands; He will break them down and not build them up.
Psalm 28:6	Blessed be the LORD, Because He hath heard the voice of my supplications.
Psalm 28:7	The LORD is my strength and my shield, In Him hath my heart trusted, And I am helped; Therefore my heart greatly rejoiceth, And with my song will I praise Him.
Psalm 28:8	The LORD is a strength unto them; And He is a stronghold of salvation to His anointed.
Psalm 28:9	Save Thy people, and bless Thine inheritance; And tend them, and carry them for ever.
Psalm 29:1	A Psalm of David. Ascribe unto the LORD, O ye sons of might, Ascribe unto the LORD glory and strength.
Psalm 29:2	Ascribe unto the LORD the glory due unto His name; Worship the LORD in the beauty of holiness.
Psalm 29:3	The voice of the LORD is upon the waters; The God of glory thundereth, Even the LORD upon many waters.
Psalm 29:4	The voice of the LORD is powerful; The voice of the LORD is full of majesty.
Psalm 29:5	The voice of the LORD breaketh the cedars; yea, the LORD breaketh in pieces the cedars of Lebanon.
Psalm 29:6	He maketh them also to skip like a calf; Lebanon and Sirion like a young wild-ox.
Psalm 29:7	The voice of the LORD heweth out flames of fire.
Psalm 29:8	The voice of the LORD shaketh the wilderness; The LORD shaketh the wilderness of Kadesh.
Psalm 29:9	The voice of the LORD maketh the hinds to calve, And strippeth the forests bare; And in His temple all say: ‘Glory.’
Psalm 29:10	The LORD sat enthroned at the flood; Yea, the LORD sitteth as King for ever.
Psalm 29:11	The LORD will give strength unto His people; The LORD will bless his people with peace.
Psalm 30:1	A Psalm; a Song at the Dedication of the House; of David. I will extol thee, O LORD, for Thou hast raised me up, And hast not suffered mine enemies to rejoice over me.
