1	And Job answereth Jehovah and saith:—
Psalm 119:5	O that my ways were prepared to keep Thy statutes,
Psalm 119:6	Then I am not ashamed In my looking unto all Thy commands.
Psalm 119:7	I confess Thee with uprightness of heart, In my learning the judgments of Thy righteousness.
Psalm 119:8	Thy statutes I keep, leave me not utterly!
Psalm 119:9	Beth. With what doth a young man purify his path? To observe—according to Thy word.
Psalm 119:10	With all my heart I have sought Thee, Let me not err from Thy commands.
Psalm 119:11	In my heart I have hid Thy saying, That I sin not before Thee.
Psalm 119:12	Blessed art Thou, O Jehovah, teach me Thy statutes.
Psalm 119:13	With my lips I have recounted All the judgments of Thy mouth.
Psalm 119:14	In the way of Thy testimonies I have joyed, As over all wealth.
Psalm 119:15	In Thy precepts I meditate, And I behold attentively Thy paths.
Psalm 119:16	In Thy statutes I delight myself, I do not forget Thy word.
Psalm 119:17	Gimel. Confer benefits on Thy servant, I live, and I keep Thy word.
Psalm 119:18	Uncover mine eyes, and I behold wonders out of Thy law.
Psalm 119:19	A sojourner I am on earth, Hide not from me Thy commands.
Psalm 119:20	Broken hath my soul for desire Unto Thy judgments at all times.
Psalm 119:21	Thou hast rebuked the cursed proud, Who are erring from Thy commands.
Psalm 119:22	Remove from me reproach and contempt, For Thy testimonies I have kept.
Psalm 119:23	Princes also sat—against me they spoke, Thy servant doth meditate in Thy statutes,
Psalm 119:24	Thy testimonies also are my delight, The men of my counsel!
Psalm 119:25	Daleth. Cleaved to the dust hath my soul, Quicken me according to Thy word.
Psalm 119:26	My ways I have recounted, And Thou answerest me, teach me Thy statutes,
Psalm 119:27	The way of Thy precepts cause me to understand, And I meditate in Thy wonders.
Psalm 119:28	My soul hath dropped from affliction, Establish me according to Thy word.
Psalm 119:29	The way of falsehood turn aside from me And with Thy law favour me.
Psalm 119:30	The way of faithfulness I have chosen, Thy judgments I have compared,
Psalm 119:31	I have adhered to Thy testimonies, O Jehovah, put me not to shame.
Psalm 119:32	The way of Thy commands I run, For Thou dost enlarge my heart!
Psalm 119:33	He. Show me, O Jehovah, the way of Thy statutes, And I keep it—to the end.
Psalm 119:34	Cause me to understand, and I keep Thy law, And observe it with the whole heart.
Psalm 119:35	Cause me to tread in the path of Thy commands, For in it I have delighted.
Psalm 119:36	Incline my heart unto Thy testimonies, And not unto dishonest gain.
Psalm 119:37	Remove mine eyes from seeing vanity, In Thy way quicken Thou me.
Psalm 119:38	Establish to Thy servant Thy saying, That is concerning Thy fear.
Psalm 119:39	Remove my reproach that I have feared, For Thy judgments are good.
Psalm 119:40	Lo, I have longed for Thy precepts, In Thy righteousness quicken Thou me,
Psalm 119:41	Waw. And meet me doth Thy kindness, O Jehovah, Thy salvation according to Thy saying.
Psalm 119:42	And I answer him who is reproaching me a word, For I have trusted in Thy word.
Psalm 119:43	And Thou takest not utterly away From my mouth the word of truth, Because for Thy judgment I have hoped.
Psalm 119:44	And I keep Thy law continually, To the age and for ever.
Psalm 119:45	And I walk habitually in a broad place, For Thy precepts I have sought.
Psalm 119:46	And I speak of Thy testimonies before kings, And I am not ashamed.
Psalm 119:47	And I delight myself in Thy commands, That I have loved,
Psalm 119:48	And I lift up my hands unto Thy commands, That I have loved, And I do meditate on Thy statutes!
Psalm 119:49	Zain. Remember the word to Thy servant, On which Thou hast caused me to hope.
Psalm 119:50	This is my comfort in mine affliction, That Thy saying hath quickened me.
Psalm 119:51	The proud have utterly scorned me, From Thy law I have not turned aside.
Psalm 119:52	I remembered Thy judgments of old, O Jehovah, And I comfort myself.
Psalm 119:53	Horror hath seized me, Because of the wicked forsaking Thy law.
Psalm 119:54	Songs have been to me Thy statutes, In the house of my sojournings.
Psalm 119:55	I have remembered in the night Thy name, O Jehovah, And I do keep Thy law.
Psalm 119:56	This hath been to me, That Thy precepts I have kept!
Psalm 119:57	Cheth. My portion is Jehovah; I have said—to keep Thy words,
Psalm 119:58	I appeased Thy face with the whole heart, Favour me according to Thy saying.
Psalm 119:59	I have reckoned my ways, And turn back my feet unto Thy testimonies.
Psalm 119:60	I have made haste, And delayed not, to keep Thy commands.
Psalm 119:61	Cords of the wicked have surrounded me, Thy law I have not forgotten.
Psalm 119:62	At midnight I rise to give thanks to Thee, For the judgments of Thy righteousness.
Psalm 119:63	A companion I am to all who fear Thee, And to those keeping Thy precepts.
Psalm 119:64	Of Thy kindness, O Jehovah, the earth is full, Thy statutes teach Thou me!
Psalm 119:65	Teth. Good Thou didst with Thy servant, O Jehovah, According to Thy word.
Psalm 119:66	The goodness of reason and knowledge teach me, For in Thy commands I have believed.
Psalm 119:67	Before I am afflicted, I—I am erring, And now Thy saying I have kept.
Psalm 119:68	Good Thou art, and doing good, Teach me Thy statutes.
Psalm 119:69	Forged against me falsehood have the proud, I with the whole heart keep Thy precepts.
Psalm 119:70	Insensate as fat hath been their heart, I—in Thy law I have delighted.
Psalm 119:71	Good for me that I have been afflicted, That I might learn Thy statutes.
Psalm 119:72	Better to me is the law of Thy mouth Than thousands of gold and silver!
Psalm 119:73	Yod. Thy hands made me and establish me, Cause me to understand, and I learn Thy commands.
Psalm 119:74	Those fearing Thee see me and rejoice, Because for Thy word I have hoped.
Psalm 119:75	I have known, O Jehovah, That righteous are Thy judgments, And in faithfulness Thou hast afflicted me.
Psalm 119:76	Let, I pray Thee, Thy kindness be to comfort me, According to Thy saying to Thy servant.
Psalm 119:77	Meet me do Thy mercies, and I live, For Thy law is my delight.
Psalm 119:78	Ashamed are the proud, For with falsehood they dealt perversely with me. I meditate in Thy precepts.
Psalm 119:79	Those fearing Thee turn back to me, And those knowing Thy testimonies.
Psalm 119:80	My heart is perfect in Thy statutes, So that I am not ashamed.
Psalm 119:81	Kaph. Consumed for Thy salvation hath been my soul, For Thy word I have hoped.
Psalm 119:82	Consumed have been mine eyes for Thy word, Saying, ‘When doth it comfort me?’
Psalm 119:83	For I have been as a bottle in smoke, Thy statutes I have not forgotten.
Psalm 119:84	How many are the days of Thy servant? When dost Thou execute Against my pursuers judgment?
Psalm 119:85	The proud have digged for me pits, That are not according to Thy law.
Psalm 119:86	All Thy commands are faithfulness, With falsehood they have pursued me, Help Thou me.
Psalm 119:87	Almost consumed me on earth have they, And I—I have not forsaken Thy precepts.
Psalm 119:88	According to Thy kindness quicken Thou me, And I keep the testimony of Thy mouth!
Psalm 119:89	Lamed. To the age, O Jehovah, Thy word is set up in the heavens.
Psalm 119:90	To all generations Thy faithfulness, Thou didst establish earth, and it standeth.
Psalm 119:91	According to Thine ordinances They have stood this day, for the whole are Thy servants.
Psalm 119:92	Unless Thy law were my delights, Then had I perished in mine affliction.
Psalm 119:93	To the age I forget not Thy precepts, For by them Thou hast quickened me.
Psalm 119:94	I am Thine, save Thou me, For Thy precepts I have sought.
Psalm 119:95	Thy wicked waited for me to destroy me, Thy testimonies I understand.
Psalm 119:96	Of all perfection I have seen an end, Broad is Thy command—exceedingly!
Psalm 119:97	Mem. O how I have loved Thy law! All the day it is my meditation.
Psalm 119:98	Than mine enemies Thy command maketh me wiser, For it is before me to the age.
Psalm 119:99	Above all my teachers I have acted wisely. For Thy testimonies are my meditation.
Psalm 119:100	Above elders I understand more, For Thy precepts I have kept.
Psalm 119:101	From every evil path I restrained my feet, So that I keep Thy word.
Psalm 119:102	From Thy judgments I turned not aside, For Thou—Thou hast directed me.
Psalm 119:103	How sweet to my palate hath been Thy saying, Above honey to my mouth.
Psalm 119:104	From Thy precepts I have understanding, Therefore I have hated every false path!
Psalm 119:105	Nun. A lamp to my foot is Thy word, And a light to my path.
Psalm 119:106	I have sworn, and I confirm it, To keep the judgments of Thy righteousness.
Psalm 119:107	I have been afflicted very much, O Jehovah, quicken me, according to Thy word.
Psalm 119:108	Free-will-offerings of my mouth, Accept, I pray Thee, O Jehovah, And Thy judgments teach Thou me.
Psalm 119:109	My soul is in my hand continually, And Thy law I have not forgotten.
Psalm 119:110	The wicked have laid a snare for me, And from thy precepts I wandered not.
Psalm 119:111	I have inherited Thy testimonies to the age, For the joy of my heart are they.
Psalm 119:112	I have inclined my heart To do Thy statutes, to the age—to the end!
Psalm 119:113	Samech. Doubting ones I have hated, And Thy law I have loved.
Psalm 119:114	My hiding place and my shield art Thou, For Thy word I have hoped.
Psalm 119:115	Turn aside from me, ye evil-doers, And I keep the commands of my God.
Psalm 119:116	Sustain me according to Thy saying, And I live, and Thou puttest me not to shame Because of my hope.
Psalm 119:117	Support Thou me, and I am saved, And I look on Thy statutes continually.
Psalm 119:118	Thou hast trodden down All going astray from Thy statutes, For falsehood is their deceit.
Psalm 119:119	Dross! Thou hast caused to cease All the wicked of the earth; Therefore I have loved Thy testimonies.
Psalm 119:120	Trembled from Thy fear hath my flesh, And from Thy judgments I have been afraid!
Psalm 119:121	Ain. I have done judgment and righteousness, Leave me not to mine oppressors.
Psalm 119:122	Make sure Thy servant for good, Let not the proud oppress me.
Psalm 119:123	Mine eyes have been consumed for Thy salvation. And for the saying of Thy righteousness.
Psalm 119:124	Do with Thy servant according to Thy kindness. And Thy statutes teach Thou me.
Psalm 119:125	Thy servant am I—cause me to understand, And I know Thy testimonies.
Psalm 119:126	Time for Jehovah to work! they have made void Thy law.
Psalm 119:127	Therefore I have loved Thy commands Above gold—even fine gold.
Psalm 119:128	Therefore all my appointments I have declared wholly right, Every path of falsehood I have hated!
Psalm 119:129	Pe. Wonderful are Thy testimonies, Therefore hath my soul kept them.
Psalm 119:130	The opening of Thy words enlighteneth, Instructing the simple.
Psalm 119:131	My mouth I have opened, yea, I pant, For, for Thy commands I have longed.
Psalm 119:132	Look unto me, and favour me, As customary to those loving Thy name.
Psalm 119:133	My steps establish by Thy saying, And any iniquity doth not rule over me.
Psalm 119:134	Ransom me from the oppression of man, And I observe Thy precepts,
Psalm 119:135	Thy face cause to shine on Thy servant, And teach me Thy statutes.
Psalm 119:136	Rivulets of waters have come down mine eyes, Because they have not kept Thy law!
Psalm 119:137	Tzade. Righteous art Thou, O Jehovah, And upright are Thy judgments.
Psalm 119:138	Thou hast appointed Thy testimonies, Righteous and exceeding faithful,
Psalm 119:139	Cut me off hath my zeal, For mine adversaries forgot Thy words.
Psalm 119:140	Tried is thy saying exceedingly, And Thy servant hath loved it.
Psalm 119:141	Small I am, and despised, Thy precepts I have not forgotten.
Psalm 119:142	Thy righteousness is righteousness to the age, And Thy law is truth.
Psalm 119:143	Adversity and distress have found me, Thy commands are my delights.
Psalm 119:144	The righteousness of Thy testimonies is to Cause me to understand, and I live!
Psalm 119:145	Koph. I have called with the whole heart, Answer me, O Jehovah, Thy statutes I keep,
Psalm 119:146	I have called Thee, save Thou me, And I do keep Thy testimonies.
Psalm 119:147	I have gone forward in the dawn, and I cry, For Thy word I have hoped.
Psalm 119:148	Mine eyes have gone before the watches, To meditate in Thy saying.
Psalm 119:149	My voice hear, according to Thy kindness, Jehovah, according to Thy judgment quicken me.
Psalm 119:150	Near have been my wicked pursuers, From Thy law they have been far off.
Psalm 119:151	Near art Thou, O Jehovah, And all Thy commands are truth.
Psalm 119:152	Of old I have known Thy testimonies, That to the age Thou hast founded them!
Psalm 119:153	Resh. See my affliction, and deliver Thou me, For Thy law I have not forgotten.
Psalm 119:154	Plead my plea, and redeem me, According to Thy saying quicken me.
Psalm 119:155	Far from the wicked is salvation, For Thy statutes they have not sought.
Psalm 119:156	Thy mercies are many, O Jehovah, According to Thy judgments quicken me.
Psalm 119:157	Many are my pursuers, and adversaries, From Thy testimonies I have not turned aside.
Psalm 119:158	I have seen treacherous ones, And grieve myself, Because Thy saying they have not kept.
Psalm 119:159	See, for thy precepts I have loved, Jehovah, According to Thy kindness quicken me.
Psalm 119:160	The sum of Thy word is truth, And to the age is every judgment of Thy righteousness!
Psalm 119:161	Shin. Princes have pursued me without cause, And because of Thy words was my heart afraid.
Psalm 119:162	I do rejoice concerning Thy saying, As one finding abundant spoil.
Psalm 119:163	Falsehood I have hated, yea I abominate it, Thy law I have loved.
Psalm 119:164	Seven times in a day I have praised Thee, Because of the judgments of Thy righteousness.
Psalm 119:165	Abundant peace have those loving Thy law, And they have no stumbling-block.
Psalm 119:166	I have waited for Thy salvation, O Jehovah, And Thy commands I have done.
Psalm 119:167	Kept hath my soul Thy testimonies, And I do love them exceedingly.
Psalm 119:168	I have kept Thy precepts and Thy testimonies, For all my ways are before Thee!
Psalm 119:169	Taw. My loud cry cometh near before Thee, O Jehovah; According to Thy word cause me to understand.
Psalm 119:170	My supplication cometh in before Thee, According to Thy saying deliver Thou me.
Psalm 119:171	My lips do utter praise, For Thou dost teach me Thy statutes.
Psalm 119:172	My tongue doth sing of Thy saying, For all Thy commands are righteous.
Psalm 119:173	Thy hand is for a help to me, For Thy commands I have chosen.
Psalm 119:174	I have longed for Thy salvation, O Jehovah, And Thy law is my delight.
Psalm 119:175	My soul liveth, and it doth praise Thee, And Thy judgments do help me.
Psalm 119:176	I wandered as a lost sheep, seek Thy servant, For Thy precepts I have not forgotten!
Psalm 120:1	A Song of the Ascents. Unto Jehovah in my distress I have called, And He answereth me.
Psalm 120:2	O Jehovah, deliver my soul from a lying lip, From a deceitful tongue!
Psalm 120:3	What doth He give to thee? And what doth He add to thee? O deceitful tongue!
Psalm 120:4	Sharp arrows of a mighty one, with broom-coals.
Psalm 120:5	Woe to me, for I have inhabited Mesech, I have dwelt with tents of Kedar.
Psalm 120:6	Too much hath my soul dwelt with him who is hating peace.
Psalm 120:7	I am peace, and when I speak they are for war!
Psalm 121:1	A Song of the Ascents. I lift up mine eyes unto the hills, Whence doth my help come?
Psalm 121:2	My help is from Jehovah, maker of heaven and earth,
Psalm 121:3	He suffereth not thy foot to be moved, Thy preserver slumbereth not.
Psalm 121:4	Lo, He slumbereth not, nor sleepeth, He who is preserving Israel.
Psalm 121:5	Jehovah is thy preserver, Jehovah is thy shade on thy right hand,
Psalm 121:6	By day the sun doth not smite thee, Nor the moon by night.
Psalm 121:7	Jehovah preserveth thee from all evil, He doth preserve thy soul.
Psalm 121:8	Jehovah preserveth thy going out and thy coming in, From henceforth even unto the age!
Psalm 122:1	A Song of the Ascents, by David. I have rejoiced in those saying to me, ‘To the house of Jehovah we go.’
Psalm 122:2	Our feet have been standing in thy gates, O Jerusalem!
Psalm 122:3	Jerusalem—the builded one—Is as a city that is joined to itself together.
Psalm 122:4	For thither have tribes gone up, Tribes of Jah, companies of Israel, To give thanks to the name of Jehovah.
Psalm 122:5	For there have sat thrones of judgment, Thrones of the house of David.
Psalm 122:6	Ask ye the peace of Jerusalem, At rest are those loving thee.
Psalm 122:7	Peace is in thy bulwark, rest in thy high places,
Psalm 122:8	For the sake of my brethren and my companions, Let me speak, I pray thee, ‘Peace be in thee.’
Psalm 122:9	For the sake of the house of Jehovah our God, I seek good for thee!
Psalm 123:1	A Song of the Ascents. Unto Thee I have lifted up mine eyes, O dweller in the heavens.
Psalm 123:2	Lo, as eyes of men-servants Are unto the hand of their masters, As eyes of a maid-servant Are unto the hand of her mistress, So are our eyes unto Jehovah our God, Till that He doth favour us.
Psalm 123:3	Favour us, O Jehovah, favour us, For greatly have we been filled with contempt,
Psalm 123:4	Greatly hath our soul been filled With the scorning of the easy ones, With the contempt of the arrogant!
Psalm 124:1	A Song of the Ascents, by David. Save for Jehovah—who hath been for us, (Pray, let Israel say),
Psalm 124:2	Save for Jehovah—who hath been for us, In the rising up of man against us,
Psalm 124:3	Then alive they had swallowed us up, In the burning of their anger against us,
Psalm 124:4	Then the waters had overflowed us, The stream passed over our soul,
Psalm 124:5	Then passed over our soul had the proud waters.
Psalm 124:6	Blessed is Jehovah who hath not given us, A prey to their teeth.
Psalm 124:7	Our soul as a bird hath escaped from a snare of fowlers, The snare was broken, and we have escaped.
Psalm 124:8	Our help is in the name of Jehovah, Maker of the heavens and earth!
Psalm 125:1	A Song of the Ascents. Those trusting in Jehovah are as Mount Zion, It is not moved—to the age it abideth.
Psalm 125:2	Jerusalem! mountains are round about her, And Jehovah is round about His people, From henceforth even unto the age.
Psalm 125:3	For the rod of wickedness resteth not On the lot of the righteous, That the righteous put not forth on iniquity their hands.
Psalm 125:4	Do good, O Jehovah, to the good, And to the upright in their hearts.
Psalm 125:5	As to those turning to their crooked ways, Jehovah causeth them to go with workers of iniquity. Peace on Israel!
Psalm 126:1	A Song of the Ascents. In Jehovah’s turning back to the captivity of Zion, We have been as dreamers.
Psalm 126:2	Then filled with laughter is our mouth, And our tongue with singing, Then do they say among nations, ‘Jehovah did great things with these.’
Psalm 126:3	Jehovah did great things with us, We have been joyful.
Psalm 126:4	Turn again, O Jehovah, to our captivity, As streams in the south.
Psalm 126:5	Those sowing in tears, with singing do reap,
Psalm 126:6	Whoso goeth on and weepeth, Bearing the basket of seed, Surely cometh in with singing, bearing his sheaves!
Psalm 127:1	A Song of the Ascents, by Solomon. If Jehovah doth not build the house, In vain have its builders laboured at it, If Jehovah doth not watch a city, In vain hath a watchman waked.
Psalm 127:2	Vain for you who are rising early, Who delay sitting, eating the bread of griefs, So He giveth to His beloved one sleep.
Psalm 127:3	Lo, an inheritance of Jehovah are sons, A reward is the fruit of the womb.
Psalm 127:4	As arrows in the hand of a mighty one, So are the sons of the young men.
Psalm 127:5	O the happiness of the man Who hath filled his quiver with them, They are not ashamed, For they speak with enemies in the gate!
Psalm 128:1	A Song of the Ascents. O the happiness of every one fearing Jehovah, Who is walking in His ways.
Psalm 128:2	The labour of thy hands thou surely eatest, Happy art thou, and good is to thee.
Psalm 128:3	Thy wife is as a fruitful vine in the sides of thy house, Thy sons as olive plants around thy table.
Psalm 128:4	Lo, surely thus is the man blessed who is fearing Jehovah.
Psalm 128:5	Jehovah doth bless thee out of Zion, Look, then, on the good of Jerusalem, All the days of thy life,
Psalm 128:6	And see the sons of thy sons! Peace on Israel!
Psalm 129:1	A Song of the Ascents. Often they distressed me from my youth, Pray, let Israel say:
Psalm 129:2	Often they distressed me from my youth, Yet they have not prevailed over me.
Psalm 129:3	Over my back have ploughers ploughed, They have made long their furrows.
Psalm 129:4	Jehovah is righteous, He hath cut asunder cords of the wicked.
Psalm 129:5	Confounded and turn backward do all hating Zion.
Psalm 129:6	They are as grass of the roofs, That before it was drawn out withereth,
Psalm 129:7	That hath not filled the hand of a reaper, And the bosom of a binder of sheaves.
Psalm 129:8	And the passers by have not said, ‘The blessing of Jehovah is on you, We blessed you in the Name of Jehovah!’
Psalm 130:1	A Song of the Ascents. From depths I have called Thee, Jehovah.
Psalm 130:2	Lord, hearken to my voice, Thine ears are attentive to the voice of my supplications.
Psalm 130:3	If iniquities Thou dost observe, O Lord, who doth stand?
Psalm 130:4	But with Thee is forgiveness, that Thou mayest be feared.
Psalm 130:5	I hoped for Jehovah—hoped hath my soul, And for His word I have waited.
Psalm 130:6	My soul is for the Lord, More than those watching for morning, Watching for morning!
Psalm 130:7	Israel doth wait on Jehovah, For with Jehovah is kindness, And abundant with Him is redemption.
Psalm 130:8	And He doth redeem Israel from all his iniquities!
Psalm 131:1	A Song of the Ascents, by David. Jehovah, my heart hath not been haughty, Nor have mine eyes been high, Nor have I walked in great things, And in things too wonderful for me.
Psalm 131:2	Have I not compared, and kept silent my soul, As a weaned one by its mother? As a weaned one by me is my soul.
Psalm 131:3	Israel doth wait on Jehovah, From henceforth, and unto the age!
Psalm 132:1	A Song of the Ascents. Remember, Jehovah, for David, all his afflictions.
Psalm 132:2	Who hath sworn to Jehovah. He hath vowed to the Mighty One of Jacob:
Psalm 132:3	‘If I enter into the tent of my house, If I go up on the couch of my bed,
Psalm 132:4	If I give sleep to mine eyes, To mine eyelids—slumber,
Psalm 132:5	Till I do find a place for Jehovah, Tabernacles for the Mighty One of Jacob.
Psalm 132:6	‘Lo, we have heard it in Ephratah, We have found it in the fields of the forest.
Psalm 132:7	We come in to His tabernacles, We bow ourselves at His footstool.
Psalm 132:8	Arise, O Jehovah, to Thy rest, Thou, and the ark of Thy strength,
Psalm 132:9	Thy priests do put on righteousness, And Thy pious ones cry aloud.
Psalm 132:10	For the sake of David Thy servant, Turn not back the face of Thine anointed.
Psalm 132:11	Jehovah hath sworn truth to David, He turneth not back from it: Of the fruit of thy body, I set on the throne for thee.
Psalm 132:12	If thy sons keep My covenant, And My testimonies that I teach them, Their sons also for ever and ever, Do sit on the throne for thee.
Psalm 132:13	For Jehovah hath fixed on Zion, He hath desired it for a seat to Himself,
Psalm 132:14	This is My rest for ever and ever, Here do I sit, for I have desired it.
Psalm 132:15	Her provision I greatly bless, Her needy ones I satisfy with bread,
Psalm 132:16	And her priests I clothe with salvation, And her pious ones do sing aloud.
Psalm 132:17	There I cause to spring up a horn for David, I have arranged a lamp for Mine anointed.
Psalm 132:18	His enemies I do clothe with shame, And upon him doth his crown flourish!
Psalm 133:1	A Song of the Ascents, by David. Lo, how good and how pleasant The dwelling of brethren—even together!
Psalm 133:2	As the good oil on the head, Coming down on the beard, the beard of Aaron, That cometh down on the skirt of his robes,
Psalm 133:3	As dew of Hermon—That cometh down on hills of Zion, For there Jehovah commanded the blessing—Life unto the age!
Psalm 134:1	A Song of the Ascents. Lo, bless Jehovah, all servants of Jehovah, Who are standing in the house of Jehovah by night.
Psalm 134:2	Lift up your hands in the sanctuary, And bless ye Jehovah.
Psalm 134:3	Jehovah doth bless thee out of Zion, The maker of the heavens and earth!
Psalm 135:1	Praise ye Jah! Praise ye the name of Jehovah, Praise, ye servants of Jehovah,
Psalm 135:2	Who are standing in the house of Jehovah, In the courts of the house of our God.
Psalm 135:3	Praise ye Jah! for Jehovah is good, Sing praise to His name, for it is pleasant.
Psalm 135:4	For Jacob hath Jah chosen for Himself, Israel for His peculiar treasure.
Psalm 135:5	For I have known that great is Jehovah, Yea, our Lord is above all gods.
Psalm 135:6	All that Jehovah pleased He hath done, In the heavens and in earth, In the seas and all deep places,
Psalm 135:7	Causing vapours to ascend from the end of the earth, Lightnings for the rain He hath made, Bringing forth wind from His treasures.
Psalm 135:8	Who smote the first-born of Egypt, From man unto beast.
Psalm 135:9	He sent tokens and wonders into thy midst, O Egypt, On Pharaoh and on all his servants.
Psalm 135:10	Who smote many nations, and slew strong kings,
Psalm 135:11	Even Sihon king of the Amorite, And Og king of Bashan, And all kingdoms of Canaan.
Psalm 135:12	And He gave their land an inheritance, An inheritance to Israel His people,
Psalm 135:13	O Jehovah, Thy name is to the age, O Jehovah, Thy memorial to all generations.
Psalm 135:14	For Jehovah doth judge His people, And for His servants comforteth Himself.
Psalm 135:15	The idols of the nations are silver and gold, Work of the hands of man.
Psalm 135:16	A mouth they have, and they speak not, Eyes they have, and they see not,
Psalm 135:17	Ears they have, and they give not ear, Nose—there is no breath in their mouth!
Psalm 135:18	Like them are their makers, Every one who is trusting in them.
Psalm 135:19	O house of Israel, bless ye Jehovah, O house of Aaron, bless ye Jehovah,
Psalm 135:20	O house of Levi, bless ye Jehovah, Those fearing Jehovah, bless ye Jehovah.
Psalm 135:21	Blessed is Jehovah from Zion, Inhabiting Jerusalem—praise ye Jah!
Psalm 136:1	Give ye thanks to Jehovah, For good, for to the age is His kindness.
Psalm 136:2	Give ye thanks to the God of gods, For to the age is His kindness.
Psalm 136:3	Give ye thanks to the Lord of lords, For to the age is His kindness.
Psalm 136:4	To Him doing great wonders by Himself alone, For to the age is His kindness.
Psalm 136:5	To Him making the heavens by understanding, For to the age is His kindness.
Psalm 136:6	To Him spreading the earth over the waters, For to the age is His kindness.
Psalm 136:7	To Him making great lights, For to the age is His kindness.
Psalm 136:8	The sun to rule by day, For to the age is His kindness.
Psalm 136:9	The moon and stars to rule by night, For to the age is His kindness.
Psalm 136:10	To Him smiting Egypt in their first-born, For to the age is His kindness.
Psalm 136:11	And bringing forth Israel from their midst, For to the age is His kindness.
Psalm 136:12	By a strong hand, and a stretched-out-arm, For to the age is His kindness.
Psalm 136:13	To Him cutting the sea of Suph into parts, For to the age is His kindness,
Psalm 136:14	And caused Israel to pass through its midst, For to the age is His kindness,
Psalm 136:15	And shook out Pharaoh and his force in the sea of Suph, For to the age is His kindness.
Psalm 136:16	To Him leading His people in a wilderness, For to the age is His kindness.
Psalm 136:17	To Him smiting great kings, For to the age is His kindness.
Psalm 136:18	Yea, He doth slay honourable kings, For to the age is His kindness.
Psalm 136:19	Even Sihon king of the Amorite, For to the age is His kindness.
Psalm 136:20	And Og king of Bashan, For to the age is His kindness.
Psalm 136:21	And He gave their land for inheritance, For to the age is His kindness.
Psalm 136:22	An inheritance to Israel His servant, For to the age is His kindness.
Psalm 136:23	Who in our lowliness hath remembered us, For to the age is His kindness.
Psalm 136:24	And He delivereth us from our adversaries, For to the age is His kindness.
Psalm 136:25	Giving food to all flesh, For to the age is His kindness.
Psalm 136:26	Give ye thanks to the God of the heavens, For to the age is His kindness!
Psalm 137:1	By rivers of Babylon—There we did sit, Yea, we wept when we remembered Zion.
Psalm 137:2	On willows in its midst we hung our harps.
Psalm 137:3	For there our captors asked us the words of a song, And our spoilers—joy: ‘Sing ye to us of a song of Zion.’
Psalm 137:4	How do we sing the song of Jehovah, On the land of a stranger?
Psalm 137:5	If I forget thee, O Jerusalem, my right hand forgetteth!
Psalm 137:6	My tongue doth cleave to my palate, If I do not remember thee, If I do not exalt Jerusalem above my chief joy.
Psalm 137:7	Remember, Jehovah, for the sons of Edom, The day of Jerusalem, Those saying, ‘Rase, rase to its foundation!’
Psalm 137:8	O daughter of Babylon, O destroyed one, O the happiness of him who repayeth to thee thy deed, That thou hast done to us.
Psalm 137:9	O the happiness of him who doth seize, And hath dashed thy sucklings on the rock!
Psalm 138:1	By David. I confess Thee, with all my heart, Before the gods I do praise Thee.
Psalm 138:2	I bow myself toward Thy holy temple, And I confess Thy name, For Thy kindness, and for Thy truth, For Thou hast made great Thy saying above all Thy name.
Psalm 138:3	In the day I called, when Thou dost answer me, Thou dost strengthen me in my soul with strength.
Psalm 138:4	O Jehovah, all kings of earth confess Thee, When they have heard the sayings of Thy mouth.
Psalm 138:5	And they sing in the ways of Jehovah, For great is the honour of Jehovah.
Psalm 138:6	For high is Jehovah, and the lowly He seeth, And the haughty from afar He knoweth.
Psalm 138:7	If I walk in the midst of distress Thou quickenest me, Against the anger of mine enemies Thou sendest forth Thy hand, And Thy right hand doth save me.
Psalm 138:8	Jehovah doth perfect for me, O Jehovah, Thy kindness is to the age, The works of Thy hands let not fall!
Psalm 139:1	To the Overseer.—A Psalm by David. Jehovah, Thou hast searched me, and knowest.
Psalm 139:2	Thou—Thou hast known my sitting down, And my rising up, Thou hast attended to my thoughts from afar.
Psalm 139:3	My path and my couch Thou hast fanned, And with all my ways hast been acquainted.
Psalm 139:4	For there is not a word in my tongue, Lo, O Jehovah, Thou hast known it all!
Psalm 139:5	Behind and before Thou hast besieged me, And Thou dost place on me Thy hand.
Psalm 139:6	Knowledge too wonderful for me, It hath been set on high, I am not able for it.
Psalm 139:7	Whither do I go from Thy Spirit? And whither from Thy face do I flee?
Psalm 139:8	If I ascend the heavens—there Thou art, And spread out a couch in Sheol, lo, Thee!
Psalm 139:9	I take the wings of morning, I dwell in the uttermost part of the sea,
Psalm 139:10	Also there Thy hand doth lead me, And Thy right hand doth hold me.
Psalm 139:11	And I say, ‘Surely darkness bruiseth me, Then night is light to me.
Psalm 139:12	Also darkness hideth not from Thee, And night as day shineth, as is darkness so is light.
Psalm 139:13	For Thou—Thou hast possessed my reins, Thou dost cover me in my mother’s belly.
Psalm 139:14	I confess Thee, because that with wonders I have been distinguished. Wonderful are Thy works, And my soul is knowing it well.
Psalm 139:15	My substance was not hid from Thee, When I was made in secret, Curiously wrought in the lower part of earth.
Psalm 139:16	Mine unformed substance Thine eyes saw, And on Thy book all of them are written, The days they were formed—And not one among them.
Psalm 139:17	And to me how precious have been Thy thoughts, O God, how great hath been their sum!
Psalm 139:18	I recount them! than the sand they are more, I have waked, and I am still with Thee.
